parameter,value,distribute
k1_IkBbcRel50Diss-NFkB,0.0169,0
k1_IkBecRel50Diss-NFkB,2.68E-05,0
k1_IkBdcRel50Diss-NFkB,0.00084,0
k1_IkBacRel52Diss-NFkB,0.0048,0
k1_IkBbcRel52Diss-NFkB,0.0169,0
k1_IkBecRel52Diss-NFkB,2.68E-05,0
k1_IkBdcRel52Diss-NFkB,0.00084,0
k1_IkBaRelA52Diss-NFkB,0.0006,0
k1_IkBbRelA52Diss-NFkB,0.0169,0
k1_IkBeRelA52Diss-NFkB,0.006,0
k1_IkBdRelA52Diss-NFkB,0.00084,0
k1_RelAp50IkBanucImport-NFkB,0.276,0
k1_RelAp50IkBbnucImport-NFkB,0.0276,0
k1_RelAp50IkBenucImport-NFkB,0.138,0
k1_RelAp50IkBdnucImport-NFkB,0.0276,0
k1_RelBp50IkBanucImport-NFkB,0.276,0
k1_RelBp50IkBbnucImport-NFkB,0.0276,0
k1_RelBp50IkBenucImport-NFkB,0.138,0
k1_RelBp50IkBdnucImport-NFkB,0.0276,0
k1_RelBp52IkBanucImport-NFkB,0,0
k1_RelBp52IkBbnucImport-NFkB,0,0
k1_RelBp52IkBenucImport-NFkB,0,0
k1_RelBp52IkBdnucImport-NFkB,0,0
k1_cRelp100IkBanucImport-NFkB,0,0
k1_cRelp100IkBbnucImport-NFkB,0,0
k1_cRelp100IkBenucImport-NFkB,0,0
k1_cRelp100IkBdnucImport-NFkB,0,0
k1_cRelp50IkBanucImport-NFkB,0.276,0
k1_cRelp50IkBbnucImport-NFkB,0.0276,0
k1_cRelp50IkBenucImport-NFkB,0.138,0
k1_cRelp50IkBdnucImport-NFkB,0.0276,0
k1_cRelp52IkBanucImport-NFkB,0.276,0
k1_cRelp52IkBbnucImport-NFkB,0.276,0
k1_cRelp52IkBenucImport-NFkB,0.138,0
k1_cRelp52IkBdnucImport-NFkB,0.0276,0
k1_RelAp52IkBanucImport-NFkB,0.276,0
k1_RelAp52IkBbnucImport-NFkB,0.276,0
k1_RelAp52IkBenucImport-NFkB,0.138,0
k1_RelAp52IkBdnucImport-NFkB,0.0276,0
k1_RelAnp50nIkBannucExport-NFkB,0.84,0
k1_RelAnp50nIkBbnnucExport-NFkB,0.42,0
k1_RelAnp50nIkBennucExport-NFkB,0.42,0
k1_RelAnp50nIkBdnnucExport-NFkB,0.42,0
